policy,threads,chunk,trial,rank,rows,escape_iterations
dynamic,16,256,2,1,256,1313697
dynamic,16,256,2,2,0,0
dynamic,16,256,2,3,56,140054
dynamic,16,256,2,4,0,0
dynamic,16,256,2,5,0,0
dynamic,16,256,2,6,0,0
dynamic,16,256,2,7,0,0
dynamic,16,256,2,8,0,0
dynamic,16,256,2,9,256,122585384
dynamic,16,256,2,10,0,0
dynamic,16,256,2,11,0,0
dynamic,16,256,2,12,0,0
dynamic,16,256,2,13,256,78230988
dynamic,16,256,2,14,0,0
dynamic,16,256,2,15,256,846756
dynamic,16,256,3,0,256,122585384
dynamic,16,256,3,1,56,140054
dynamic,16,256,3,2,0,0
dynamic,16,256,3,3,256,1313697
dynamic,16,256,3,4,0,0
dynamic,16,256,3,5,0,0
dynamic,16,256,3,6,0,0
dynamic,16,256,3,7,0,0
dynamic,16,256,3,8,0,0
dynamic,16,256,3,9,0,0
dynamic,16,256,3,10,0,0
dynamic,16,256,3,11,0,0
dynamic,16,256,3,12,0,0
dynamic,16,256,3,13,0,0
dynamic,16,256,3,14,256,78230988
dynamic,16,256,3,15,256,846756
guided,2,1,1,0,405,101722174
guided,2,1,1,1,675,101394705
guided,2,1,2,0,270,101156033
guided,2,1,2,1,810,101960846
guided,2,1,3,0,270,101156033
guided,2,1,3,1,810,101960846
guided,2,16,1,0,270,101156033
guided,2,16,1,1,810,101960846
guided,2,16,2,0,371,101440642
guided,2,16,2,1,709,101676237
guided,2,16,3,0,287,101198440
guided,2,16,3,1,793,101918439
guided,2,64,1,0,273,101162278
guided,2,64,1,1,807,101954601
guided,2,64,2,0,341,101368588
guided,2,64,2,1,739,101748291
guided,2,64,3,0,341,101368588
guided,2,64,3,1,739,101748291
guided,2,256,1,0,284,101187173
guided,2,256,1,1,796,101929706
guided,2,256,2,0,284,101187173
guided,2,256,2,1,796,101929706
guided,2,256,3,0,284,101187173
guided,2,256,3,1,796,101929706
guided,4,1,1,0,203,50512752
guided,4,1,1,1,114,38399034
guided,4,1,1,2,152,109346892
guided,4,1,1,3,611,4858201
guided,4,1,2,0,152,109346892
guided,4,1,2,1,114,38399034
guided,4,1,2,2,203,50512752
guided,4,1,2,3,611,4858201
guided,4,1,3,0,203,50512752
